Nom,Cores,Potència,Caché
AMD Ryzen™ 5 7235HS,4,Up to 4.2 GHz,"Name: ""AMD Ryzen™ 9 PRO 5945"","
AMD Ryzen™ 3 5425U,4,Up to 4.1 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 3 5425C,4,Up to 4.1 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
AMD Ryzen™ 3 5400U,4,Up to 4 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 3 5300U,4,Up to 3.8 GHz,"},"
AMD Ryzen™ 3 PRO 4450U,4,Up to 3.7 GHz,{
AMD Ryzen™ 3 4300U,4,Up to 3.7 GHz,"Name: ""AMD Ryzen™ 9 5900 (OEM Only)"","
AMD Ryzen™ 7 3780U Microsoft Surface® Edition,4,Up to 4 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 7 3750H,4,Up to 4 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
AMD Ryzen™ 7 3700U,4,Up to 4 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 3700C,4,Up to 4 GHz,"},"
AMD Ryzen™ 5 3580U Microsoft Surface® Edition,4,Up to 3.7 GHz,{
AMD Ryzen™ 5 3550H,4,Up to 3.7 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 3945WX"","
AMD Ryzen™ 5 3500U,4,Up to 3.7 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 3500C,4,Up to 3.7 GHz,"Max. Boost Clock: ""Up to 4.3 GHz"","
AMD Ryzen™ 5 3450U,4,Up to 3.5 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 3 3350U,4,Up to 3.5 GHz,"},"
AMD Ryzen™ 3 3300U,4,Up to 3.5 GHz,{
AMD Ryzen™ 7 PRO 2700U,4,Up to 3.8 GHz,"Name: ""AMD Ryzen™ 9 PRO 3900"","
AMD Ryzen™ 5 PRO 2500U,4,Up to 3.6 GHz,"# of CPU Cores: ""12"","
